a,b,length
9585187620,9585187621,36.96744046153954
9585187625,9585187627,4.374341720935984
3618194633,5441879431,17.39438685850604
9585201870,9585201876,25.848900104707923
9585187272,9585187273,55.62204870147909
9585187662,9585187675,40.176556547758
3618194677,3618194679,11.633508032883073
9585187644,9585187649,3.850154576897153
3564662157,8905351189,2.747042850077185
3564680895,3564680911,19.677816139470387
3618194676,9585169544,11.296780375787135
9585201861,9916611626,4.652783785102527
9585201884,9585201890,47.21818697398436
9585187676,9585187687,3.6351923549316956
3618194633,3618194635,27.808747555958895
3617812037,3617812042,7.248418147593919
9585187662,9585187688,12.549461444969214
9585187663,9585187665,30.983116433469142
3564680490,5803229528,103.11778403165388
9585201861,9585201863,55.30003329205664
9585187273,9585187276,62.691747170841666
3617839910,5803229528,21.670357679672748
3618194647,3618194682,49.845104787065914
3564662158,3564662160,11.259562140391486
9585187662,9585187675,40.17655654775799
9585187277,9585187295,18.629560009977308
3564680490,9585187689,4.647962279326478
9585187295,9585187306,4.872066787479905
3617812037,3617812042,7.2484181475939184
9585187635,9585187660,5.401358522822819
3618194366,9585211893,6.394175401708618
3618194647,5803229522,32.97014186656177
9585201890,9585206838,9.315749188080218
9585201911,9585206831,24.672834209427688
3617812034,9585187690,15.814656831489982
3618194679,3618194680,7.990344320580174
9585206842,9585206849,39.61988949376607
9585206822,9585206831,3.7806424109356653
9585201867,9585201884,30.254066797865946
3617839911,9585169543,9.229509302228028
9585201856,9585211897,19.56937540244563
9585206835,9585206857,19.481645978639538
3618194367,9585211893,23.686116162882566
3564662171,3615837264,64.01759096802267
9585187644,9585187649,3.8501545768971526
9585187262,9585187269,8.367472557616548
5441724638,9585187285,11.943563065380197
9585187625,9585187626,29.2026232885621
3618194670,5441715695,6.060155929828459
3618194682,9585211893,26.6946032378477
9585187649,9585187681,27.80314633827411
3618120757,9585187266,244.16793306561024
9585206835,9585206838,41.68881774030716
9585187662,9585187663,11.142785952370634
3617839913,3617839922,2.848966996747288
3617839910,5803229527,20.369043295127987
3617839980,5803229528,6.785469408185917
5441879431,5441879433,28.203119940958867
3564680487,5803229527,50.89304693629002
9585187276,9585187277,19.686305004173995
9585187273,9585187276,62.69174717084167
9585187635,9585206821,68.25353717008447
9585187292,9585187301,5.949769965860398
9585206823,9585206827,50.56750069671064
3618194674,9585187266,123.01164735725642
3564662195,8905351189,6.599978860808443
3617839912,3617839913,4.737003630919281
9585201895,9585206838,34.770384681616896
9585187313,9585187628,38.272652276007506
3617839990,3618194682,6.461387614393333
180368249,3564662157,141.5371099983014
3617812034,9585187689,10.42928863779359
9585187265,9585187266,6.803355855754145
3618194678,9585169544,24.465283316385356
9585187276,9585187286,14.497404312753096
3564680486,3564680487,14.033327102067702
3618194633,3618194663,36.43191265290489
9585187688,9585187702,25.07136348626695
3564680487,3618194647,35.89012475144679
3564680894,9585201859,70.08849126514912
3564680894,3564680895,1.5266500626354378
9585187660,9585201906,9.87442005388301
9585201856,9585201860,21.69424250771733
9585187306,9585187308,22.7044108362852
9585201857,9585201858,29.3479258546999
3564680910,3564680911,1.8189040805389556
3618194674,3618194675,16.149146018190788
9585187271,9585187308,12.631015459071586
9585201858,9585201861,50.7591985559975
9585187690,9585187702,29.925044040118557
9585187272,9585187285,62.61483332377291
3618194634,3618194635,5.150127250068221
9585201857,9585211897,29.880539607344264
9585187271,9585187276,41.48323111220711
9585187636,9585187640,28.724492901263147
3618194635,5803229522,79.63206961633142
9585201870,9585201884,26.964038033856916
9585187301,9585187628,17.895484675216778
3617839985,5803229527,15.061582044072019
9585187635,9585187649,4.047421480909757
9585187265,9585187618,3.2315626508963953
9585201874,9585201876,38.042201418674956
180371904,3620257567,250.64947067382658
3564680895,3564680911,47.67684226084222
3617839989,3618194682,31.61295561173013
9585187314,9585187619,31.4554411787185
9585187313,9585187628,38.27265227600751
3615837264,3615837267,124.30061378984838
9585187647,9585187660,5.261728271027887
9585187292,9585187307,11.748940117561103
9585187313,9585187625,26.086393249266017
4200925341,4200925342,9.618374742685466
9585187619,9585187620,17.986017596528995
180371904,180372570,357.8615054341735
9585187640,9585187663,15.923265406127038
9585201870,9585201873,22.595202251275115
9585201911,9585201914,26.548262383051615
3617839988,9585187270,83.49578034779748
3617839923,3617839933,4.147576623609277
3617812042,9585187700,41.712047190629704
3618194679,3618194680,34.47000564871764
9585187272,9585187286,13.073194141761313
9585201856,9585201859,24.362915571814096
9585187701,9585201859,16.37962117056937
9585187640,9585187644,33.46164157091345
