id,lat,lon
9585187301,-85.6636922,40.1123336
9585187306,-85.6637541,40.1123266
9585187307,-85.6635854,40.1122142
9585187308,-85.6639426,40.1124712
9585187313,-85.6633136,40.1127235
9585187314,-85.6632627,40.1127258
9585187315,-85.6632637,40.1126889
9585187618,-85.6629268,40.1131101
9585187619,-85.663072,40.112965
9585187620,-85.662867,40.1130048
9585187621,-85.6629556,40.1126826
9585187625,-85.6635508,40.1128462
9585187626,-85.6635236,40.113108
9585187627,-85.6635531,40.1128069
9585187628,-85.6635536,40.1124547
9585187635,-85.6649784,40.1121068
9585187636,-85.665634,40.1119767
9585187640,-85.6653421,40.1118829
9585187644,-85.6650353,40.1120652
9585187647,-85.6650698,40.1121098
9585187649,-85.664993,40.1120736
9585187660,-85.6650234,40.112136
9585187662,-85.6654996,40.1116733
9585187663,-85.6654508,40.1117663
9585187665,-85.6650866,40.1117623
9585187675,-85.6650273,40.1116686
9585187676,-85.6649916,40.1116616
9585187679,-85.6649242,40.1118096
9585187681,-85.6649872,40.1118236
9585187687,-85.6649982,40.1116293
9585187688,-85.6656362,40.1116306
9585187689,-85.6656371,40.1112768
9585187690,-85.6659138,40.1113813
9585187700,-85.6656363,40.1115955
9585187701,-85.6659113,40.111237
9585187702,-85.6659183,40.1116504
9585201856,-85.6661032,40.1114574
9585201857,-85.6666219,40.1116584
9585201858,-85.666967,40.1116596
9585201859,-85.6661039,40.1112383
9585201860,-85.6661025,40.1116525
9585201861,-85.6669891,40.1121129
9585201863,-85.6664292,40.112038
9585201864,-85.6669966,40.1121594
9585201867,-85.6665443,40.1123486
9585201870,-85.6663379,40.1125317
9585201873,-85.6662308,40.1127127
9585201874,-85.6669655,40.1124386
9585201876,-85.6665337,40.1123567
9585201880,-85.6662016,40.1131083
9585201884,-85.6661977,40.1123142
9585201890,-85.6656994,40.1124617
9585201895,-85.6653027,40.1123721
9585201898,-85.6650255,40.1123537
9585201900,-85.6657378,40.1120029
9585201906,-85.6650243,40.1122248
9585201911,-85.664748,40.1125708
9585201914,-85.664528,40.1127271
9585201915,-85.6648489,40.112401
9585206821,-85.6642885,40.1124152
9585206822,-85.665025,40.1125672
9585206823,-85.6656058,40.1124584
9585206827,-85.6650251,40.1125205
9585206831,-85.6650251,40.1125332
9585206835,-85.6661197,40.1121773
9585206838,-85.6657098,40.1123783
9585206842,-85.6656661,40.1130368
9585206849,-85.6652002,40.1130377
9585206850,-85.6656803,40.1127148
9585206851,-85.6650367,40.1127079
9585206857,-85.6661416,40.1120029
9585206858,-85.6669886,40.112163
9585211892,-85.6598546,40.1112122
9585211893,-85.66201,40.111215
9585211897,-85.6663085,40.1115369
9916611626,-85.6670438,40.1121138
